cell_id,susceptibility_probability,neighbor_count,neighbor_mean_risk,neighbor_max_risk,neighbor_risk_std,neighbor_high_risk_fraction,spatial_pressure_score,spatial_category
3_1656,0.0100098936032178,0,0.0,0.0,0.0,0.0,0.0,LOW
4_988,0.016950869485096,0,0.0,0.0,0.0,0.0,0.0,LOW
5_1571,0.0141702832136074,0,0.0,0.0,0.0,0.0,0.0,LOW
10_680,0.028521037330115,0,0.0,0.0,0.0,0.0,0.0,LOW
12_491,0.0007432595523372,0,0.0,0.0,0.0,0.0,0.0,LOW
13_1255,0.0012717983651226,0,0.0,0.0,0.0,0.0,0.0,LOW
15_652,0.2646531801531802,0,0.0,0.0,0.0,0.0,0.0,LOW
15_1456,0.0052932269365511,0,0.0,0.0,0.0,0.0,0.0,LOW
16_317,0.0220009300177836,0,0.0,0.0,0.0,0.0,0.0,LOW
17_355,0.1212580213903743,0,0.0,0.0,0.0,0.0,0.0,LOW
20_1290,2.1798365122615804e-05,0,0.0,0.0,0.0,0.0,0.0,LOW
20_1453,0.0030122024055266,0,0.0,0.0,0.0,0.0,0.0,LOW
23_244,0.1526538406038406,0,0.0,0.0,0.0,0.0,0.0,LOW
27_1200,0.0099023539206781,0,0.0,0.0,0.0,0.0,0.0,LOW
29_729,0.0211548351491634,0,0.0,0.0,0.0,0.0,0.0,LOW
31_874,0.01915013636699,0,0.0,0.0,0.0,0.0,0.0,LOW
31_1025,0.002457848943546,0,0.0,0.0,0.0,0.0,0.0,LOW
32_1418,6.220240552665621e-05,0,0.0,0.0,0.0,0.0,0.0,LOW
33_13,0.4260781725964528,0,0.0,0.0,0.0,0.0,0.0,LOW
33_708,0.0023055357388599,0,0.0,0.0,0.0,0.0,0.0,LOW
39_194,0.1300831612831613,0,0.0,0.0,0.0,0.0,0.0,LOW
40_15,0.0928772099880795,0,0.0,0.0,0.0,0.0,0.0,LOW
41_966,0.0448966596305199,0,0.0,0.0,0.0,0.0,0.0,LOW
44_642,0.04196158579991,0,0.0,0.0,0.0,0.0,0.0,LOW
44_777,0.0154936309769552,0,0.0,0.0,0.0,0.0,0.0,LOW
44_843,0.0023868492959269,0,0.0,0.0,0.0,0.0,0.0,LOW
44_1523,0.0986740981240981,0,0.0,0.0,0.0,0.0,0.0,LOW
47_1039,7.659288567056101e-05,0,0.0,0.0,0.0,0.0,0.0,LOW
51_586,0.00637540240948,0,0.0,0.0,0.0,0.0,0.0,LOW
